"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","538","should upload a supported single file","chromium","Sun Jan 26 22:16:25 GMT+04:00 2025","passed","Sun Jan 26 22:16:26 GMT+04:00 2025","","fileUpload.spec.ts","",""
"","211","should upload a supported single file","webkit","Sun Jan 26 22:17:17 GMT+04:00 2025","failed","Sun Jan 26 22:17:17 GMT+04:00 2025","","fileUpload.spec.ts","",""
"","5153","should delete all uploaded files","webkit","Sun Jan 26 22:17:30 GMT+04:00 2025","failed","Sun Jan 26 22:17:35 GMT+04:00 2025","","fileUpload.spec.ts","",""
"","619","should capture snapshot for visual regression","webkit","Sun Jan 26 22:17:35 GMT+04:00 2025","failed","Sun Jan 26 22:17:36 GMT+04:00 2025","","visualRegression.spec.ts","",""
"","169","should upload and process a single supported file","firefox","Sun Jan 26 22:16:54 GMT+04:00 2025","failed","Sun Jan 26 22:16:54 GMT+04:00 2025","","fileUpload.spec.ts","",""
"","4297","should ask question for uploaded file","chromium","Sun Jan 26 22:16:20 GMT+04:00 2025","passed","Sun Jan 26 22:16:24 GMT+04:00 2025","","chatbot.spec.ts","",""
"","5186","should delete all uploaded files","firefox","Sun Jan 26 22:17:05 GMT+04:00 2025","failed","Sun Jan 26 22:17:10 GMT+04:00 2025","","fileUpload.spec.ts","",""
"","5167","should process each multiple uploaded file individually","webkit","Sun Jan 26 22:17:24 GMT+04:00 2025","failed","Sun Jan 26 22:17:29 GMT+04:00 2025","","fileUpload.spec.ts","",""
"","858","should capture snapshot for visual regression","chromium","Sun Jan 26 22:16:46 GMT+04:00 2025","failed","Sun Jan 26 22:16:47 GMT+04:00 2025","","visualRegression.spec.ts","",""
"","171","should upload a supported single file","firefox","Sun Jan 26 22:16:53 GMT+04:00 2025","failed","Sun Jan 26 22:16:53 GMT+04:00 2025","","fileUpload.spec.ts","",""
"","5171","should upload multiple supported files","firefox","Sun Jan 26 22:16:54 GMT+04:00 2025","failed","Sun Jan 26 22:16:59 GMT+04:00 2025","","fileUpload.spec.ts","",""
"","10039","should process each multiple uploaded file individually","chromium","Sun Jan 26 22:16:31 GMT+04:00 2025","passed","Sun Jan 26 22:16:41 GMT+04:00 2025","","fileUpload.spec.ts","",""
"","150","should upload and process a single supported file","webkit","Sun Jan 26 22:17:18 GMT+04:00 2025","failed","Sun Jan 26 22:17:18 GMT+04:00 2025","","fileUpload.spec.ts","",""
"","496","should NOT upload an unsupported single file","chromium","Sun Jan 26 22:16:26 GMT+04:00 2025","passed","Sun Jan 26 22:16:26 GMT+04:00 2025","","fileUpload.spec.ts","",""
"","246","should NOT upload an unsupported single file","firefox","Sun Jan 26 22:16:53 GMT+04:00 2025","passed","Sun Jan 26 22:16:54 GMT+04:00 2025","","fileUpload.spec.ts","",""
"","4271","should ask question for uploaded file","webkit","Sun Jan 26 22:17:12 GMT+04:00 2025","passed","Sun Jan 26 22:17:16 GMT+04:00 2025","","chatbot.spec.ts","",""
"","4260","should ask question for uploaded file","firefox","Sun Jan 26 22:16:48 GMT+04:00 2025","passed","Sun Jan 26 22:16:52 GMT+04:00 2025","","chatbot.spec.ts","",""
"","704","should upload multiple supported files","chromium","Sun Jan 26 22:16:30 GMT+04:00 2025","passed","Sun Jan 26 22:16:31 GMT+04:00 2025","","fileUpload.spec.ts","",""
"","5193","should process each multiple uploaded file individually","firefox","Sun Jan 26 22:17:00 GMT+04:00 2025","failed","Sun Jan 26 22:17:05 GMT+04:00 2025","","fileUpload.spec.ts","",""
"","3814","should upload and process a single supported file","chromium","Sun Jan 26 22:16:26 GMT+04:00 2025","passed","Sun Jan 26 22:16:30 GMT+04:00 2025","","fileUpload.spec.ts","",""
"","5371","should delete all uploaded files","chromium","Sun Jan 26 22:16:41 GMT+04:00 2025","failed","Sun Jan 26 22:16:46 GMT+04:00 2025","","fileUpload.spec.ts","",""
"","5137","should upload multiple supported files","webkit","Sun Jan 26 22:17:19 GMT+04:00 2025","failed","Sun Jan 26 22:17:24 GMT+04:00 2025","","fileUpload.spec.ts","",""
"","677","should capture snapshot for visual regression","firefox","Sun Jan 26 22:17:11 GMT+04:00 2025","failed","Sun Jan 26 22:17:11 GMT+04:00 2025","","visualRegression.spec.ts","",""
"","765","should NOT upload an unsupported single file","webkit","Sun Jan 26 22:17:17 GMT+04:00 2025","passed","Sun Jan 26 22:17:18 GMT+04:00 2025","","fileUpload.spec.ts","",""
